name|Бездрицька територіальна громада
region|Сумська область
id|id368
link|http://decentralization.gov.ua/region/common/id/1295
"
			№
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей:|4038
дошкільного віку|231|
шкільного віку|305|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|4
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади  Центр громади - гривень, у тому числі:|11014800
сформованих відповідно до статті 64 Бюджетного кодексу України|6523200|
бюджету розвитку|-|
базової дотації|1292200|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади  Центр громади - кв. км|8269
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|11
загальноосвітніх навчальних закладів I-III ступенів|2|
загальноосвітніх навчальних закладів I-II ступенів|-|
загальноосвітніх навчальних закладів I ступеня|-|
дошкільних навчальних закладів|2|
закладів позашкільної освіти|-|
закладів культури|4|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|-|
амбулаторій, поліклінік|2|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|Є
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Є
