name|Міженецька територіальна громада
region|Львівська область
id|id285
link|http://decentralization.gov.ua/region/common/id/757
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.|2195
у тому числі дітей|250
дошкільного віку|67
шкільного віку|183
Кількість населених пунктів, що входять до складу спроможної територіальної громади|6
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|5283600
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|842600
бюджету розвитку|-
базової дотації|989700
реверсної дотації|-
Площа території спроможної територіальної громади, кв. кілометрів|875
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|16
у тому числі|
загальноосвітніх навчальних закладів I-III ступеня|1
загальноосвітніх навчальних закладів I-II ступеня|-
загальноосвітніх навчальних закладів I ступеня|1
дошкільних навчальних закладів|-
закладів позашкільної освіти|-
закладів культури|8
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|5
амбулаторій, поліклінік|1
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Так
реєстрації актів цивільного стану та майнових прав|Так
пенсійного забезпечення|Так
соціального захисту|Так
пожежної безпеки|Так
казначейського обслуговування|Так
Наявність приміщень для розміщення органів місцевого самоврядування|Так
