name|Вільховецька територіальна громада
region|Закарпатська область
id|id179
link|http://decentralization.gov.ua/region/common/id/741
1|2
№ з/п|Найменування показника
|
Кількістьнаселення станом на 1 січня 2015 року, в тому числі|12369
|
дітейдошкільноговіку|1224
дітейшкільноговіку|1896
Кількістьнаселенихпунктів, щовходять до спроможноїтериторіальноїгромади|6
|
Обсягдоходів (розрахунковий) спроможноїтериторіальноїгромади, грн.у тому числі|96879
|
сформованихвідповідно до статті 64 Бюджетного кодексу України|35894
бюджету розвитку|2954
базовоїдотації|58031
реверсноїдотації|
Площатериторіїспроможноїтериторіальноїгромади, км2|76752
|
Кількістьзакладів, щоутримуються за рахунок бюджету органівмісцевогосамоврядування|26
|
школи I-III ступеня|3
школи I-II ступеня|2
школи I ступеня|1
дитячі садки|3
закладипозашкільноїосвіти|0
культури|6
фізичноїкультури|0
фельдшерсько-акушерськіпункти|5
амбулаторії, поліклініки|3
лікарні|0
станціїшвидкоїдопомоги|1
Наявністьдержавнихорганів, установ, щоутримуються за рахунокдержавного бюджету|9
|
правоохоронніоргани|3
реєстраціяактівгромадянського стану та майнових прав|3
пенсійніфонди|1
соціальнийзахист|1
протипожежнабезпека|0
казначейство|1
Наявністьприміщень, придатних для розміщення|3
органимісцевогосамоврядування|
державніоргани|
