name|Усть-Путильська територіальна громада
region|Чернівецька область
id|id493
link|http://decentralization.gov.ua/region/common/id/795
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 року|2270
у  тому  числі  дітей|588
дошкільного віку|226
шкільного віку|362
Кількість населених пунктів, що входять до складу спроможної територіальної громади|6
Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень|20748
у тому числі|
сформованих відповідно до статті 64 Бюджетного Кодексу України|9726
бюджету розвитку|
базової дотації|11022
реверсної дотації|
Площа території спроможної територіальної громади кв. кілометрів|9206
Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|13
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|1
загальноосвітніх навчальних закладів І-ІІ ступеня|1
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|2
закладів позашкільної освіти|-
закладів культури|4
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|5
амбулаторій, поліклінік|-
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень  для розміщення органів місцевого самоврядування|Є
