name|Новострілищинська територіальна громада
region|Львівська область
id|id290
link|http://decentralization.gov.ua/region/common/id/754
0|1|2
Найменування показника|Значення показників|
1|Кількість населення станом на 1 січня 2015 року, в тому числі:|2716
дітей дошкільного віку|179|
дітей шкільного віку|266|
2|Кількість населених пунктів, що входять до спроможної територіальної громади|11
3|Обсяг доходів (розрахунково) спроможної територіальної громади,гривень:  сформованих відповідно до статті 64 Бюджетного кодексу України  бюджету розвитку  базової дотації  реверсної дотації|3200300     2074400  0  1125900  0
4|Площа території громади, кв.м.|71936
5|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування:|
школи І-ІІІ ступеня|1|
школи І-ІІ ступеня|2|
школи І ступеня|0|
дитячі садки|1|
заклади позашкільної освіти|0|
культури|16|
фізичної культури|0|
фельдшерсько-акушерські пункти|5|
амбулаторії, поліклініки|1|
лікарні|0|
станції швидкої допомоги|1|
6|Наявність державних органів, установ, що утримуються за рахунок державного бюджету:|
правоохоронних органів|немає|
реєстрації актів цивільного стану та майнових прав|немає|
Пенсійного фонду|немає|
соціального захисту|немає|
протипожежної безпеки|немає|
Казначейства|немає|
7|Наявність приміщень для розміщення органів місцевого самоврядування|є
